customer_id,plan_type,monthly_fee,payment_status,churn_date
1001,Basic,199,Paid,
1002,Standard,499,Paid,
1003,Basic,199,Paid,
1004,Standard,499,Paid,
1005,Standard,499,Due,
1006,Standard,499,Due,2023-04-08
1007,Standard,499,Due,
1008,Premium,999,Due,
1009,Premium,999,Due,
1010,Basic,199,Due,
1011,Basic,199,Due,2022-07-12
1012,Premium,999,Paid,
1013,Standard,499,Overdue,
1014,Premium,999,Overdue,
1015,Basic,199,Due,
1016,Standard,499,Due,
1017,Premium,999,Paid,
1018,Basic,199,Paid,
1019,Standard,499,Paid,
1020,Basic,199,Due,
1021,Standard,499,Due,
1022,Premium,999,Paid,
1023,Basic,199,Due,
1024,Standard,499,Overdue,
1025,Standard,499,Overdue,
1026,Standard,499,Paid,
1027,Standard,499,Due,
1028,Premium,999,Paid,
1029,Basic,199,Overdue,2022-12-18
1030,Premium,999,Paid,
1031,Standard,499,Due,
1032,Standard,499,Overdue,
1033,Premium,999,Paid,2023-08-20
1034,Standard,499,Due,
1035,Basic,199,Paid,2022-10-03
1036,Basic,199,Due,
1037,Premium,999,Due,2023-01-12
1038,Premium,999,Due,2024-01-10
1039,Premium,999,Overdue,
1040,Premium,999,Overdue,
1041,Standard,499,Paid,
1042,Standard,499,Due,
1043,Standard,499,Paid,2022-07-14
1044,Standard,499,Due,
1045,Basic,199,Due,2023-09-17
1046,Standard,499,Paid,
1047,Premium,999,Overdue,
1048,Basic,199,Overdue,
1049,Basic,199,Overdue,
1050,Basic,199,Paid,
1051,Standard,499,Overdue,
1052,Basic,199,Overdue,
1053,Premium,999,Overdue,2024-06-16
1054,Premium,999,Due,
1055,Basic,199,Paid,2023-06-29
1056,Basic,199,Paid,
1057,Standard,499,Paid,2023-12-25
1058,Basic,199,Overdue,
1059,Standard,499,Overdue,
1060,Standard,499,Paid,
1061,Standard,499,Paid,
1062,Standard,499,Paid,2022-08-11
1063,Standard,499,Due,2024-03-24
1064,Premium,999,Overdue,
1065,Basic,199,Due,
1066,Basic,199,Paid,
1067,Premium,999,Paid,2023-03-09
1068,Basic,199,Overdue,
1069,Standard,499,Paid,
1070,Standard,499,Overdue,
1071,Premium,999,Overdue,
1072,Premium,999,Paid,
1073,Basic,199,Due,
1074,Standard,499,Overdue,
1075,Basic,199,Overdue,
1076,Standard,499,Overdue,
1077,Standard,499,Due,
1078,Basic,199,Paid,2022-10-11
1079,Premium,999,Overdue,
1080,Standard,499,Due,
1081,Standard,499,Paid,
1082,Basic,199,Paid,
1083,Premium,999,Paid,
1084,Premium,999,Overdue,
1085,Standard,499,Paid,
1086,Basic,199,Overdue,2023-07-21
1087,Premium,999,Due,
1088,Basic,199,Overdue,
1089,Basic,199,Due,
1090,Basic,199,Overdue,2023-12-30
1091,Premium,999,Overdue,2024-04-03
1092,Standard,499,Due,
1093,Basic,199,Due,2022-12-07
1094,Premium,999,Overdue,
1095,Premium,999,Overdue,
1096,Basic,199,Overdue,
1097,Basic,199,Overdue,
1098,Premium,999,Overdue,
1099,Standard,499,Paid,
1100,Basic,199,Due,
1101,Standard,499,Overdue,
1102,Premium,999,Due,2024-02-13
1103,Basic,199,Paid,
1104,Premium,999,Due,
1105,Premium,999,Overdue,
1106,Standard,499,Due,2022-08-04
1107,Basic,199,Due,
1108,Basic,199,Paid,
1109,Standard,499,Paid,
1110,Basic,199,Due,
1111,Standard,499,Due,
1112,Premium,999,Overdue,
1113,Premium,999,Overdue,2023-05-12
1114,Premium,999,Paid,
1115,Standard,499,Due,
1116,Standard,499,Due,
1117,Standard,499,Overdue,
1118,Basic,199,Due,
1119,Premium,999,Overdue,
1120,Standard,499,Due,
1121,Standard,499,Paid,
1122,Premium,999,Due,
1123,Premium,999,Overdue,2024-03-15
1124,Basic,199,Overdue,2022-09-19
1125,Premium,999,Overdue,
1126,Premium,999,Overdue,
1127,Premium,999,Due,
1128,Standard,499,Paid,2023-01-24
1129,Premium,999,Overdue,
1130,Basic,199,Due,
1131,Premium,999,Paid,
1132,Premium,999,Overdue,2023-03-10
1133,Standard,499,Due,
1134,Premium,999,Paid,
1135,Standard,499,Overdue,
1136,Basic,199,Paid,
1137,Basic,199,Overdue,
1138,Basic,199,Overdue,
1139,Premium,999,Overdue,
1140,Standard,499,Paid,
1141,Premium,999,Due,
1142,Standard,499,Due,
1143,Premium,999,Overdue,
1144,Premium,999,Overdue,
1145,Standard,499,Paid,
1146,Standard,499,Due,
1147,Standard,499,Paid,
1148,Premium,999,Paid,2024-03-03
1149,Standard,499,Overdue,
1150,Standard,499,Due,
1151,Premium,999,Overdue,2024-05-25
1152,Standard,499,Overdue,2022-09-28
1153,Basic,199,Due,
1154,Standard,499,Paid,2023-09-13
1155,Premium,999,Paid,
1156,Basic,199,Overdue,2022-11-28
1157,Premium,999,Due,2023-11-15
1158,Standard,499,Paid,
1159,Premium,999,Paid,2023-05-14
1160,Premium,999,Overdue,2023-01-04
1161,Premium,999,Due,2023-09-26
1162,Premium,999,Paid,
1163,Basic,199,Paid,
1164,Premium,999,Overdue,
1165,Basic,199,Overdue,
1166,Standard,499,Due,
1167,Basic,199,Paid,2023-08-11
1168,Basic,199,Paid,
1169,Premium,999,Due,
1170,Premium,999,Due,
1171,Basic,199,Due,2023-09-12
1172,Premium,999,Due,
1173,Basic,199,Paid,
1174,Premium,999,Paid,
1175,Standard,499,Paid,2022-05-12
1176,Premium,999,Due,
1177,Premium,999,Overdue,
1178,Basic,199,Due,
1179,Standard,499,Overdue,
1180,Standard,499,Overdue,
1181,Premium,999,Due,
1182,Premium,999,Overdue,
1183,Standard,499,Paid,2023-10-16
1184,Standard,499,Due,
1185,Basic,199,Overdue,
1186,Premium,999,Paid,2022-12-31
1187,Basic,199,Paid,
1188,Standard,499,Paid,
1189,Premium,999,Paid,
1190,Basic,199,Paid,
1191,Premium,999,Overdue,2023-12-10
1192,Premium,999,Overdue,
1193,Basic,199,Due,
1194,Standard,499,Overdue,
1195,Premium,999,Due,
1196,Premium,999,Due,
1197,Premium,999,Paid,2024-02-13
1198,Premium,999,Overdue,2024-02-09
1199,Standard,499,Due,
1200,Basic,199,Paid,
